Name,Date,Location,Stars,Subject,Comment,Response,Title
Jvalant,4 August 2015,"
Bombay
",5,Excellent new property,"
Excellent new property by Sterling. It seems that Sterling has definitely turned over a new leaf ever since it has been acquired by Thomas Cook and is now primed to compete with Club Mahindra. The rooms, the service and the locale are all top notch. Getting there is a challenge as you have the change flights to get to Rajmoudry...
",,"
Dindi  By The Godavari
"
Natrajan2014,3 August 2015,"
Chennai, India
",5,Beautiful property on the banks of Godavari!!!,"
This property is a new addition to Sterling group. It is located on the banks of the river Godavari in a village named Dindi - which almost 3 hours drive from Vijayawada/ two hours from Rajahmundry. The entire stretch stretch is scenic, with lots of greenery.
The resort is located next to AP tourism property. Its a beautiful place built...
",,"
Dindi  By The Godavari
"
Iamspeed,27 July 2015,"
Visakhapatnam (Vizag), India
",5,Magnificient,"
I was here a few days ago just to spend a couple of hours with friends and was shocked to not have heard much about this beautiful place. Its right on the river banks of godavari. We were lucky to see an amazing sunset. The food is pretty good.But not everything was available then due to Maha Pushkar happening nearby....
",,"
Dindi  By The Godavari
"
Sundar S,22 July 2015,"
",5,Classy resort,"
We were there for three days. Built around a lily pond, with an amazing view of the river godavari from the balcony one of the best sterling resorts. Choice of buffet or a la carte, delicious fare. Staff go out of the way to make you feel at home. No bar licence as yet, the APTDC resort is just next...
",,"
Dindi  By The Godavari
"
sreeni2015,30 June 2015,"
Vijayawada, India
",5,The Best for Short Holiday,"
We are a group of 115 Pax went to this resort on 27th June , Our Entire Experience in this Resort simply Superb , Treditional welcome with welcome Drink , Nice Modern & spacioues Rooms ,
Most Importantly Great Food & Hotel staff were amazingly helpful through out Day & Night
THE BEST RESORT FOR SHORT HOLIDAY & HIGHLY RECOMMENDED
",,"
Dindi  By The Godavari
"
Chetna1973,29 June 2015,"
Hyderabad, India
",5,Excellent getaway from Hyderabad!,"
If you're looking for a quick dash close to Hyderabad, then Dindi By The Godavari is just right. It is overnight by train from Hyderabad (take train to Palakollu station which is 15 kms from the Resort), and return through the same mode.
Dindi By The Godavari is a new property by Sterling Group and is on the banks of...
",,"
Dindi  By The Godavari
"
leelaranganathan,17 June 2015,"
Chennai, India
",5,Memorable stay at Sterling Resort at Dindi,"
We 5 ladies(senior citizens) stayed at the newly opened Sterling Resort,Dindi,
from June12 to June15.We had a real memorable stay.Room,surroundings,staff
all of them need a special mention.Especially Obli and his team made our stay
home away from home.The room well maintained & staff very courteous.The rooms are situated around a pretty lily pond. the beauty of which is still colorful...
",,"
Dindi  By The Godavari
"
vicy11,15 July 2015,"
",5,Amazing Stay,"
I has stay for one night only in the month of may with my friends.Nice location back side of resort river is very beautiful. Helpful staff nice food .View from the terrace of dholadhar mountain is very nice. I prefer to stay in mountain side facing rooms.
",,"
Dharamshala - The Sanctuary, A Sterling Holidays Resort
"
ARUN KUMAR G,13 July 2015,"
Ghaziabad, India
",3,just a hotel out of town,"
it is a ordinary hotel on a deserted road out of town leaving no option for u but to dine in theiir restaurant. rooms are okay. cheap & better options are available. reception man is not welcoming. another boy at reception is a better person.
","
Dear Sir,
Namaste!
Thank you for choosing to holiday with us at Dharamshala - The Sanctuary. We appreciate your taking the time to share your review of our resort.
We are regretful to learn that we could not deliver an exciting holiday experience to you. We especially apologize for the letdown on account of our reception staff and we have...
","
Dharamshala - The Sanctuary, A Sterling Holidays Resort
"
amitkhand,4 July 2015,"
Mumbai, India
",3,My review,"
We atayed here for 1 night. The hotel has 3 star facility...however services are very poor and needs lot of work. Servives in the restaurant also needs work. Food is just ok but prices are on higher side. Location is far from main Dharamshala city
","
Dear Sir,
Namaste!
Thank you for choosing to holiday with us at Dharamshala - The Sanctuary. We appreciate your taking the time to share your review of our resort.
We apologize for the disappointment caused on account of service during your stay at our resort. We are regretful to learn about the issues that kept us from delivering our usual...
","
Dharamshala - The Sanctuary, A Sterling Holidays Resort
"
