Review,Pos/Neg,Correlation
"
Excellent new property by Sterling. It seems that Sterling has definitely turned over a new leaf ever since it has been acquired by Thomas Cook and is now primed to compete with Club Mahindra. The rooms, the service and the locale are all top notch. Getting there is a challenge as you have the change flights to get to Rajmoudry...
",pos,0.8
"
This property is a new addition to Sterling group. It is located on the banks of the river Godavari in a village named Dindi - which almost 3 hours drive from Vijayawada/ two hours from Rajahmundry. The entire stretch stretch is scenic, with lots of greenery.
The resort is located next to AP tourism property. Its a beautiful place built...
",neg,1.0
"
I was here a few days ago just to spend a couple of hours with friends and was shocked to not have heard much about this beautiful place. Its right on the river banks of godavari. We were lucky to see an amazing sunset. The food is pretty good.But not everything was available then due to Maha Pushkar happening nearby....
",neg,0.6
"
We were there for three days. Built around a lily pond, with an amazing view of the river godavari from the balcony one of the best sterling resorts. Choice of buffet or a la carte, delicious fare. Staff go out of the way to make you feel at home. No bar licence as yet, the APTDC resort is just next...
",pos,1.0
"
We are a group of 115 Pax went to this resort on 27th June , Our Entire Experience in this Resort simply Superb , Treditional welcome with welcome Drink , Nice Modern & spacioues Rooms ,
Most Importantly Great Food & Hotel staff were amazingly helpful through out Day & Night
THE BEST RESORT FOR SHORT HOLIDAY & HIGHLY RECOMMENDED
",neg,1.0
"
If you're looking for a quick dash close to Hyderabad, then Dindi By The Godavari is just right. It is overnight by train from Hyderabad (take train to Palakollu station which is 15 kms from the Resort), and return through the same mode.
Dindi By The Godavari is a new property by Sterling Group and is on the banks of...
",pos,0.6
"
We 5 ladies(senior citizens) stayed at the newly opened Sterling Resort,Dindi,
from June12 to June15.We had a real memorable stay.Room,surroundings,staff
all of them need a special mention.Especially Obli and his team made our stay
home away from home.The room well maintained & staff very courteous.The rooms are situated around a pretty lily pond. the beauty of which is still colorful...
",pos,1.0
"
I has stay for one night only in the month of may with my friends.Nice location back side of resort river is very beautiful. Helpful staff nice food .View from the terrace of dholadhar mountain is very nice. I prefer to stay in mountain side facing rooms.
",pos,1.0
"
it is a ordinary hotel on a deserted road out of town leaving no option for u but to dine in theiir restaurant. rooms are okay. cheap & better options are available. reception man is not welcoming. another boy at reception is a better person.
",pos,0.8
"
We atayed here for 1 night. The hotel has 3 star facility...however services are very poor and needs lot of work. Servives in the restaurant also needs work. Food is just ok but prices are on higher side. Location is far from main Dharamshala city
",neg,0.6
"
the location of resort is awesome .our experience of staying in this hotel is excellent every staff of the resort was very polite and gentle .we enjoyed a lot here . food quality is very good .river view rooms are the first choice
",pos,1.0
"
The place is located slightly away from the main road. But its location is what makes a difference to the place. On one side you get a nice view of the mountains and on the other side you have a river flowing, the sound of which is very calming. One has the option of going down to the river during...
",pos,1.0
"
i booked 10 rooms of the sanctury dharamshala for my college staff annual trip. I with my family checked in one day earlier. On checking in i asked the avaialbility for 2nd room as my cousin and my child could sleep there comfortably. To my astonishment room was available but they were not ready (there was not house keeping person...
",neg,0.6
"
My partner and I stayed here for 4 nights. We enjoyed our time here. I recommend staying with river view as the rushing waters are very soothing with a great view.
The food in the restaurant was delightful and enjoyed room services. Only 15 minutes drive to Dharamshala town. Good prices with great service. The rooms were clean with a...
",neg,0.6
"
Slightly away but not far away from Dharamshala. Clean rooms with friendly and hospitable staff. We were three families travelling together with small kids and kids felt at home and comfortable. If you are looking for a peaceful stay away from hustle and bustle of the town then this is a good place. Good view from the rooms and evenings...
",pos,1.0
"
Much better place to stay. Far superior than some of the reviews here. Peaceful location, a little away from the main road though. Tasty food albeit limited menu options for and slightly costly. Buffet was nice though. Staff members were courteous and helpful. They have developed underground parking into activity area, result of few reviews here I guess...:)
Overall, we...
",neg,1.0
"
we have enjoyed vacation ,stayed at Sterling Resort from 02-06-2015 to 7-06-2015, 5 nights, staff is very cooperative, food at restaurant is very tasty...chef and captain of restaurant is too good by nature...the In charge of Indoor activities is very cooperative, young and energetic,Spa is there but the head of staff is not there who have thorough knowledge and experience...
",pos,1.0
"
We were in july 10th - 15th, even though the property is small and not like a resort the location is almost very close to MG Marg which is the most happening street of Gangtok. Food was good. I was also priced less expensive on the buffet spread.
Staff were very attentive, helpful. You can take a stay comfortably...
",neg,1.0
"
Hi I with my family went from 26 th may to 30 th matin this hotel it's very nice and a cute hotel rooms r not too big but r very well furnished and equipped of all rather than other hotels and the best part it's just 5 mins from main market at mall road and from Naya market u...
",pos,1.0
"
It is centrally located but it does not have amenities of resort .courteous staff good food but limited variety .the travel desk is good .The rooms are for couple so for a family one have to book two rooms
",neg,1.0
"
i have been to sterling at many places. normally sterling is a large property with beautiful view. however gangtok is a very small property with the only view being of bus depot.
had a tough time checking in with a very unwelcoming and rude front desk staff. untill the property manager mr roy intervened. mr roy tried to give us...
",pos,1.0
"
Beautiful small boutique hotel with neat and clean rooms having nice iterior. One of the best in its category. The hotel is having all modern amenities along with elevators. Overall an amazing experience to stay there while in Gangtok.
",pos,1.0
"
The location of the hotel makes it an easy 10 min stroll to MG Marg. Walking around in Gangtok is very pleasant as there are pathways provided beside the roads. You can also get a view of the Kanchenjunga from the rooms located at the far end of the corridors. On the one occasion we ordered food at the hotel...
",pos,0.8
"
the hotel is about 7-8 mins walk from MG road...has lots of restaurants nearby.
Rooms were nice & spacious...washrooms were nice & squeaky clean.Food was good & tasty. Staff were nice. It was an enjoyable stay.
",pos,1.0
"
Was here for 3 Nights and it was indeed pleasant, Comfortable and Memorable.
The rooms are spacious, neat and offer you all what you need and not to forget all due very neat, attentive and cooperative staff.
Good Choice in breakfast with a good quantity and taste.The main course is good but we found the quantity to be be less...
",pos,1.0
"
The hotel is located nearby Mall Road.The South Indian and Chinese food is excellent,the staff are very courteous and service is excellent.The staffs are very helpful and polite.You will feel homely stay at the Resort.I stay at least one or two day in a month.The rooms are clean and well maintained.Only geyser size is small.Otherwise everything is good.Good hotel,excellent location...
",neg,1.0
"
Excellent Location, Food, Service and Room, staff was caring and courteous would surely visit again.
Thanx To entire team of Sterling for making our trip memorable. On our request we have been upgraded to suite with lovely view.
",pos,1.0
"
The hotel is located not very far from Panjim.
About the hotel : Rooms are functional, small but sufficient. A/C was powerful. Beds & mattress clean.
Getting around : Hotel can arrange transport or also organize rental/self-drive cars. If staying for long, getting a self-driven car is a good choice
Around : The hotel is 30km from the airport. You...
",neg,0.6
"
Resort is beautiful and staff is very courteous.
Stay was very comfortable.
We had breakfast and it was delicious too. Overall good experience..
Google map does not give correct location so better to follow sign boards or call up hotel and get assistance..
",pos,1.0
"
I,along with a few of my friends stayed at Club Estadia for 3 nights. The employees there are very sincere and hard working. They constantly attempted to make our stay there as pleasant as possible. The Director there was very helpful as well. He was very keen on making our stay comfortable. The only problem we had was with the...
",pos,1.0
"
One of the best hotels in goa.Just 3 kms from panji.its located at heart of city that is in between north goa and south goa. Service is also good. Rooms are also neat and well clened.Enjoyed a lot during stay. The staff is helping natured and cooperative .Only the hotel location is far from main street about 1.2 kms and...
",pos,1.0
"
We stayed here for 3N/4D on a 5 day trip to Goa. There were a number of points where we were of disappointed.
- Rooms: the rooms that are provided for the members were very small and the furnitures were old. It was entirely not maintained properly.
-Bathroom: No ventilation, which is a basic requirement in any room.
- Housekeeping:...
",neg,1.0
"
This is overall good resort having excellent ambience. Particularly Swimming pool is good with regulated temperature. But there is no / weak mobile network range inside room. No Wi-Fi available inside room and charging for internet . Hotel location is far from the main street indirectly compelling you to have food from the hotel. Food is very good with variety...
",pos,1.0
"
Honesty first.. I didn't pay for the stay there..
I got free holiday coupon for two nights so went there without any great expectations.. But I was stumped by how beautiful this resort is... I mean... Everything was just perfect about this place... Rooms ambience and staff.. Ali the manager I guess.. And navas and sushant at the restaurant.. To...
",pos,1.0
"
- Inefficient Staff
- Opportunistic Behaviour
- Bad quality rooms with cockroaches and insects
- Not properly maintained
- very few rooms properly maintained which they don't give to members or guests- they sell these rooms through travel agents
- The resort manager tried to hide when faced with problems
- No fun activities at Resort - they use the...
",pos,1.0
"
The stay at sterling goa club estadia was very comfortable. Which they allot the room was neat and clean and the food and the view was excellent however room service was a bit slow. Special thanks to Mr.Navas & Ali who went out of the way to ensure that our stay was comfortable and made us feel at home. Overall...
",pos,1.0
"
The resort is badly maintained. The house keeping is blow average. The restaurant has very less variety of food spread . Worst they hardly have any Goan recipe.Location wise the resort is centrally located . The charges for games are over Rs 100 for few minutes . Even small children are not spared. Car ride is Rs 100 for five...
",pos,1.0
"
The rooms are quite spacious. The staff is very courteous and polite.
the best thing of the hotel is its restaurant. they serve a very good and tasty food.
only issue is there is no WiFi connectivity in the rooms.
But still its a good value for Money hotel.
",pos,1.0
"
Staff here was very courteous, friendly, helpful, As the property location is in mid town we did""nt have that getaway experience, Anyway our stay was was very comforting relaxed, Our eaperience with Sterling was for the first time, I hope they make our experience more better with every stay
",neg,1.0
"
Hotel is in city so we feel we r in bussiness type hotel & not resort,
20% discount to members should not be limited to resurtant but also to room service
Pool shold be covered as it is being overlooked by high rises apt , next to hotel
",neg,1.0
"
It's a newly opened resort so rooms are in excellent conditions.. Staff is very friendly and helpful.. Mr. Anirban and Mr. Sachin made sure everything was perfect.. Food is very good and tasty. Only thing missing was variety of food, very less option..
Overall had a wonderful experience and would recommend everyone to stay here..
",pos,1.0
"
A very pleasant experience, though the property is almost in midtown location we found it to be very comforting and peaceful, The staff is very courteous and the upkeep of the hotel is very good. Our experience with Sterling is getting better with every trip we go through them.I enrolled with Sterling in 1985 but we have started using the...
",pos,1.0
"
The rooms are newly renovated and hence in excellent condition, you will not miss anything, with microwave oven, electric kettle, sink, large bathroom, it's a perfect stay for lazy weekend, one can relax in the swimming pool, some activities in the evening too.. overall nice experience.
",pos,1.0
"
The top end room with living area was superb , new furniture, very spacious and steal deal if you are a Sterling member. The hotel is in nani Daman away only 6 km from all the top attractions n beaches....
The hotel restaurant has really delicious food....the main chef Ajay and the manager Sachin took great care in terms of...
",pos,1.0
"
I must say undoubtedly, service of the staff is super duper excellent. Had fantastic time with my wife n small kid. Resort staff took very good care for my child. Everything was customized as per the requirement of visitors. From check in till check out, we dint feel any boredom in property. Swimming pool specially baby pool was very enjoyable...
",pos,1.0
"
Great amenities, Rooms and house keeping were excellent. I wished the property was bigger and bit away from main city. And had more outdoor facilities.
Yet me and my family had a memorable time as per expectations..
",neg,0.6
